state,county,year,office,dem_votes,rep_votes,total_votes,data_status
CA,Alameda,2022,governor,,,,placeholder
CA,Alpine,2022,governor,,,,placeholder
CA,Amador,2022,governor,,,,placeholder
CA,Butte,2022,governor,,,,placeholder
CA,Calaveras,2022,governor,,,,placeholder
CA,Colusa,2022,governor,,,,placeholder
CA,Contra Costa,2022,governor,,,,placeholder
CA,Del Norte,2022,governor,,,,placeholder
CA,El Dorado,2022,governor,,,,placeholder
CA,Fresno,2022,governor,,,,placeholder
CA,Glenn,2022,governor,,,,placeholder
CA,Humboldt,2022,governor,,,,placeholder
CA,Imperial,2022,governor,,,,placeholder
CA,Inyo,2022,governor,,,,placeholder
CA,Kern,2022,governor,,,,placeholder
CA,Kings,2022,governor,,,,placeholder
CA,Lake,2022,governor,,,,placeholder
CA,Lassen,2022,governor,,,,placeholder
CA,Los Angeles,2022,governor,,,,placeholder
CA,Madera,2022,governor,,,,placeholder
CA,Marin,2022,governor,,,,placeholder
CA,Mariposa,2022,governor,,,,placeholder
CA,Mendocino,2022,governor,,,,placeholder
CA,Merced,2022,governor,,,,placeholder
CA,Modoc,2022,governor,,,,placeholder
CA,Mono,2022,governor,,,,placeholder
CA,Monterey,2022,governor,,,,placeholder
CA,Napa,2022,governor,,,,placeholder
CA,Nevada,2022,governor,,,,placeholder
CA,Orange,2022,governor,,,,placeholder
CA,Placer,2022,governor,,,,placeholder
CA,Plumas,2022,governor,,,,placeholder
CA,Riverside,2022,governor,,,,placeholder
CA,Sacramento,2022,governor,,,,placeholder
CA,San Benito,2022,governor,,,,placeholder
CA,San Bernardino,2022,governor,,,,placeholder
CA,San Diego,2022,governor,,,,placeholder
CA,San Francisco,2022,governor,,,,placeholder
CA,San Joaquin,2022,governor,,,,placeholder
CA,San Luis Obispo,2022,governor,,,,placeholder
CA,San Mateo,2022,governor,,,,placeholder
CA,Santa Barbara,2022,governor,,,,placeholder
CA,Santa Clara,2022,governor,,,,placeholder
CA,Santa Cruz,2022,governor,,,,placeholder
CA,Shasta,2022,governor,,,,placeholder
CA,Sierra,2022,governor,,,,placeholder
CA,Siskiyou,2022,governor,,,,placeholder
CA,Solano,2022,governor,,,,placeholder
CA,Sonoma,2022,governor,,,,placeholder
CA,Stanislaus,2022,governor,,,,placeholder
CA,Sutter,2022,governor,,,,placeholder
CA,Tehama,2022,governor,,,,placeholder
CA,Trinity,2022,governor,,,,placeholder
CA,Tulare,2022,governor,,,,placeholder
CA,Tuolumne,2022,governor,,,,placeholder
CA,Ventura,2022,governor,,,,placeholder
CA,Yolo,2022,governor,,,,placeholder
CA,Yuba,2022,governor,,,,placeholder
UT,Beaver,2022,governor,,,,placeholder
UT,Box Elder,2022,governor,,,,placeholder
UT,Cache,2022,governor,,,,placeholder
UT,Carbon,2022,governor,,,,placeholder
UT,Daggett,2022,governor,,,,placeholder
UT,Davis,2022,governor,,,,placeholder
UT,Duchesne,2022,governor,,,,placeholder
UT,Emery,2022,governor,,,,placeholder
UT,Garfield,2022,governor,,,,placeholder
UT,Grand,2022,governor,,,,placeholder
UT,Iron,2022,governor,,,,placeholder
UT,Juab,2022,governor,,,,placeholder
UT,Kane,2022,governor,,,,placeholder
UT,Millard,2022,governor,,,,placeholder
UT,Morgan,2022,governor,,,,placeholder
UT,Piute,2022,governor,,,,placeholder
UT,Rich,2022,governor,,,,placeholder
UT,Salt Lake,2022,governor,,,,placeholder
UT,San Juan,2022,governor,,,,placeholder
UT,Sanpete,2022,governor,,,,placeholder
UT,Sevier,2022,governor,,,,placeholder
UT,Summit,2022,governor,,,,placeholder
UT,Tooele,2022,governor,,,,placeholder
UT,Uintah,2022,governor,,,,placeholder
UT,Utah,2022,governor,,,,placeholder
UT,Wasatch,2022,governor,,,,placeholder
UT,Washington,2022,governor,,,,placeholder
UT,Wayne,2022,governor,,,,placeholder
UT,Weber,2022,governor,,,,placeholder
WA,Adams,2022,governor,,,,placeholder
WA,Asotin,2022,governor,,,,placeholder
WA,Benton,2022,governor,,,,placeholder
WA,Chelan,2022,governor,,,,placeholder
WA,Clallam,2022,governor,,,,placeholder
WA,Clark,2022,governor,,,,placeholder
WA,Columbia,2022,governor,,,,placeholder
WA,Cowlitz,2022,governor,,,,placeholder
WA,Douglas,2022,governor,,,,placeholder
WA,Ferry,2022,governor,,,,placeholder
WA,Franklin,2022,governor,,,,placeholder
WA,Garfield,2022,governor,,,,placeholder
WA,Grant,2022,governor,,,,placeholder
WA,Grays Harbor,2022,governor,,,,placeholder
WA,Island,2022,governor,,,,placeholder
WA,Jefferson,2022,governor,,,,placeholder
WA,King,2022,governor,,,,placeholder
WA,Kitsap,2022,governor,,,,placeholder
WA,Kittitas,2022,governor,,,,placeholder
WA,Klickitat,2022,governor,,,,placeholder
WA,Lewis,2022,governor,,,,placeholder
WA,Lincoln,2022,governor,,,,placeholder
WA,Mason,2022,governor,,,,placeholder
WA,Okanogan,2022,governor,,,,placeholder
WA,Pacific,2022,governor,,,,placeholder
WA,Pend Oreille,2022,governor,,,,placeholder
WA,Pierce,2022,governor,,,,placeholder
WA,San Juan,2022,governor,,,,placeholder
WA,Skagit,2022,governor,,,,placeholder
WA,Skamania,2022,governor,,,,placeholder
WA,Snohomish,2022,governor,,,,placeholder
WA,Spokane,2022,governor,,,,placeholder
WA,Stevens,2022,governor,,,,placeholder
WA,Thurston,2022,governor,,,,placeholder
WA,Wahkiakum,2022,governor,,,,placeholder
WA,Walla Walla,2022,governor,,,,placeholder
WA,Whatcom,2022,governor,,,,placeholder
WA,Whitman,2022,governor,,,,placeholder
WA,Yakima,2022,governor,,,,placeholder
