state,county,year,treat,vca_first_year
CA,Alameda,2020,0,2022.0
CA,Alameda,2022,1,2022.0
CA,Alameda,2024,1,2022.0
CA,Alpine,2020,0,
CA,Alpine,2022,0,
CA,Alpine,2024,0,
CA,Amador,2020,1,2020.0
CA,Amador,2022,1,2020.0
CA,Amador,2024,1,2020.0
CA,Butte,2020,1,2020.0
CA,Butte,2022,1,2020.0
CA,Butte,2024,1,2020.0
CA,Calaveras,2020,1,2020.0
CA,Calaveras,2022,1,2020.0
CA,Calaveras,2024,1,2020.0
CA,Colusa,2020,0,
CA,Colusa,2022,0,
CA,Colusa,2024,0,
CA,Contra Costa,2020,0,
CA,Contra Costa,2022,0,
CA,Contra Costa,2024,0,
CA,Del Norte,2020,0,
CA,Del Norte,2022,0,
CA,Del Norte,2024,0,
CA,El Dorado,2020,1,2020.0
CA,El Dorado,2022,1,2020.0
CA,El Dorado,2024,1,2020.0
CA,Fresno,2020,1,2020.0
CA,Fresno,2022,1,2020.0
CA,Fresno,2024,1,2020.0
CA,Glenn,2020,0,
CA,Glenn,2022,0,
CA,Glenn,2024,0,
CA,Humboldt,2020,0,2024.0
CA,Humboldt,2022,0,2024.0
CA,Humboldt,2024,1,2024.0
CA,Imperial,2020,0,
CA,Imperial,2022,0,
CA,Imperial,2024,0,
CA,Inyo,2020,0,
CA,Inyo,2022,0,
CA,Inyo,2024,0,
CA,Kern,2020,0,
CA,Kern,2022,0,
CA,Kern,2024,0,
CA,Kings,2020,0,2022.0
CA,Kings,2022,1,2022.0
CA,Kings,2024,1,2022.0
CA,Lake,2020,0,
CA,Lake,2022,0,
CA,Lake,2024,0,
CA,Lassen,2020,0,
CA,Lassen,2022,0,
CA,Lassen,2024,0,
CA,Los Angeles,2020,1,2020.0
CA,Los Angeles,2022,1,2020.0
CA,Los Angeles,2024,1,2020.0
CA,Madera,2020,1,2018.0
CA,Madera,2022,1,2018.0
CA,Madera,2024,1,2018.0
CA,Marin,2020,0,2022.0
CA,Marin,2022,1,2022.0
CA,Marin,2024,1,2022.0
CA,Mariposa,2020,1,2020.0
CA,Mariposa,2022,1,2020.0
CA,Mariposa,2024,1,2020.0
CA,Mendocino,2020,0,
CA,Mendocino,2022,0,
CA,Mendocino,2024,0,
CA,Merced,2020,0,2022.0
CA,Merced,2022,1,2022.0
CA,Merced,2024,1,2022.0
CA,Modoc,2020,0,
CA,Modoc,2022,0,
CA,Modoc,2024,0,
CA,Mono,2020,0,
CA,Mono,2022,0,
CA,Mono,2024,0,
CA,Monterey,2020,0,
CA,Monterey,2022,0,
CA,Monterey,2024,0,
CA,Napa,2020,1,2018.0
CA,Napa,2022,1,2018.0
CA,Napa,2024,1,2018.0
CA,Nevada,2020,1,2018.0
CA,Nevada,2022,1,2018.0
CA,Nevada,2024,1,2018.0
CA,Orange,2020,1,2020.0
CA,Orange,2022,1,2020.0
CA,Orange,2024,1,2020.0
CA,Placer,2020,0,2024.0
CA,Placer,2022,0,2024.0
CA,Placer,2024,1,2024.0
CA,Plumas,2020,0,
CA,Plumas,2022,0,
CA,Plumas,2024,0,
CA,Riverside,2020,0,2022.0
CA,Riverside,2022,1,2022.0
CA,Riverside,2024,1,2022.0
CA,Sacramento,2020,1,2018.0
CA,Sacramento,2022,1,2018.0
CA,Sacramento,2024,1,2018.0
CA,San Benito,2020,0,2022.0
CA,San Benito,2022,1,2022.0
CA,San Benito,2024,1,2022.0
CA,San Bernardino,2020,0,
CA,San Bernardino,2022,0,
CA,San Bernardino,2024,0,
CA,San Diego,2020,0,2022.0
CA,San Diego,2022,1,2022.0
CA,San Diego,2024,1,2022.0
CA,San Francisco,2020,0,
CA,San Francisco,2022,0,
CA,San Francisco,2024,0,
CA,San Joaquin,2020,0,
CA,San Joaquin,2022,0,
CA,San Joaquin,2024,0,
CA,San Luis Obispo,2020,0,
CA,San Luis Obispo,2022,0,
CA,San Luis Obispo,2024,0,
CA,San Mateo,2020,1,2018.0
CA,San Mateo,2022,1,2018.0
CA,San Mateo,2024,1,2018.0
CA,Santa Barbara,2020,0,
CA,Santa Barbara,2022,0,
CA,Santa Barbara,2024,0,
CA,Santa Clara,2020,1,2020.0
CA,Santa Clara,2022,1,2020.0
CA,Santa Clara,2024,1,2020.0
CA,Santa Cruz,2020,0,2022.0
CA,Santa Cruz,2022,1,2022.0
CA,Santa Cruz,2024,1,2022.0
CA,Shasta,2020,0,
CA,Shasta,2022,0,
CA,Shasta,2024,0,
CA,Sierra,2020,0,
CA,Sierra,2022,0,
CA,Sierra,2024,0,
CA,Siskiyou,2020,0,
CA,Siskiyou,2022,0,
CA,Siskiyou,2024,0,
CA,Solano,2020,0,
CA,Solano,2022,0,
CA,Solano,2024,0,
CA,Sonoma,2020,0,2022.0
CA,Sonoma,2022,1,2022.0
CA,Sonoma,2024,1,2022.0
CA,Stanislaus,2020,0,2022.0
CA,Stanislaus,2022,1,2022.0
CA,Stanislaus,2024,1,2022.0
CA,Sutter,2020,0,
CA,Sutter,2022,0,
CA,Sutter,2024,0,
CA,Tehama,2020,0,
CA,Tehama,2022,0,
CA,Tehama,2024,0,
CA,Trinity,2020,0,
CA,Trinity,2022,0,
CA,Trinity,2024,0,
CA,Tulare,2020,0,
CA,Tulare,2022,0,
CA,Tulare,2024,0,
CA,Tuolumne,2020,1,2020.0
CA,Tuolumne,2022,1,2020.0
CA,Tuolumne,2024,1,2020.0
CA,Ventura,2020,0,2022.0
CA,Ventura,2022,1,2022.0
CA,Ventura,2024,1,2022.0
CA,Yolo,2020,0,2022.0
CA,Yolo,2022,1,2022.0
CA,Yolo,2024,1,2022.0
CA,Yuba,2020,0,
CA,Yuba,2022,0,
CA,Yuba,2024,0,
UT,Beaver,2020,1,
UT,Beaver,2022,1,
UT,Beaver,2024,1,
UT,Box Elder,2020,1,
UT,Box Elder,2022,1,
UT,Box Elder,2024,1,
UT,Cache,2020,1,
UT,Cache,2022,1,
UT,Cache,2024,1,
UT,Carbon,2020,1,
UT,Carbon,2022,1,
UT,Carbon,2024,1,
UT,Daggett,2020,1,
UT,Daggett,2022,1,
UT,Daggett,2024,1,
UT,Davis,2020,1,
UT,Davis,2022,1,
UT,Davis,2024,1,
UT,Duchesne,2020,1,
UT,Duchesne,2022,1,
UT,Duchesne,2024,1,
UT,Emery,2020,1,
UT,Emery,2022,1,
UT,Emery,2024,1,
UT,Garfield,2020,1,
UT,Garfield,2022,1,
UT,Garfield,2024,1,
UT,Grand,2020,1,
UT,Grand,2022,1,
UT,Grand,2024,1,
UT,Iron,2020,1,
UT,Iron,2022,1,
UT,Iron,2024,1,
UT,Juab,2020,1,
UT,Juab,2022,1,
UT,Juab,2024,1,
UT,Kane,2020,1,
UT,Kane,2022,1,
UT,Kane,2024,1,
UT,Millard,2020,1,
UT,Millard,2022,1,
UT,Millard,2024,1,
UT,Morgan,2020,1,
UT,Morgan,2022,1,
UT,Morgan,2024,1,
UT,Piute,2020,1,
UT,Piute,2022,1,
UT,Piute,2024,1,
UT,Rich,2020,1,
UT,Rich,2022,1,
UT,Rich,2024,1,
UT,Salt Lake,2020,1,
UT,Salt Lake,2022,1,
UT,Salt Lake,2024,1,
UT,San Juan,2020,1,
UT,San Juan,2022,1,
UT,San Juan,2024,1,
UT,Sanpete,2020,1,
UT,Sanpete,2022,1,
UT,Sanpete,2024,1,
UT,Sevier,2020,1,
UT,Sevier,2022,1,
UT,Sevier,2024,1,
UT,Summit,2020,1,
UT,Summit,2022,1,
UT,Summit,2024,1,
UT,Tooele,2020,1,
UT,Tooele,2022,1,
UT,Tooele,2024,1,
UT,Uintah,2020,1,
UT,Uintah,2022,1,
UT,Uintah,2024,1,
UT,Utah,2020,1,
UT,Utah,2022,1,
UT,Utah,2024,1,
UT,Wasatch,2020,1,
UT,Wasatch,2022,1,
UT,Wasatch,2024,1,
UT,Washington,2020,1,
UT,Washington,2022,1,
UT,Washington,2024,1,
UT,Wayne,2020,1,
UT,Wayne,2022,1,
UT,Wayne,2024,1,
UT,Weber,2020,1,
UT,Weber,2022,1,
UT,Weber,2024,1,
WA,Adams,2020,1,
WA,Adams,2022,1,
WA,Adams,2024,1,
WA,Asotin,2020,1,
WA,Asotin,2022,1,
WA,Asotin,2024,1,
WA,Benton,2020,1,
WA,Benton,2022,1,
WA,Benton,2024,1,
WA,Chelan,2020,1,
WA,Chelan,2022,1,
WA,Chelan,2024,1,
WA,Clallam,2020,1,
WA,Clallam,2022,1,
WA,Clallam,2024,1,
WA,Clark,2020,1,
WA,Clark,2022,1,
WA,Clark,2024,1,
WA,Columbia,2020,1,
WA,Columbia,2022,1,
WA,Columbia,2024,1,
WA,Cowlitz,2020,1,
WA,Cowlitz,2022,1,
WA,Cowlitz,2024,1,
WA,Douglas,2020,1,
WA,Douglas,2022,1,
WA,Douglas,2024,1,
WA,Ferry,2020,1,
WA,Ferry,2022,1,
WA,Ferry,2024,1,
WA,Franklin,2020,1,
WA,Franklin,2022,1,
WA,Franklin,2024,1,
WA,Garfield,2020,1,
WA,Garfield,2022,1,
WA,Garfield,2024,1,
WA,Grant,2020,1,
WA,Grant,2022,1,
WA,Grant,2024,1,
WA,Grays Harbor,2020,1,
WA,Grays Harbor,2022,1,
WA,Grays Harbor,2024,1,
WA,Island,2020,1,
WA,Island,2022,1,
WA,Island,2024,1,
WA,Jefferson,2020,1,
WA,Jefferson,2022,1,
WA,Jefferson,2024,1,
WA,King,2020,1,
WA,King,2022,1,
WA,King,2024,1,
WA,Kitsap,2020,1,
WA,Kitsap,2022,1,
WA,Kitsap,2024,1,
WA,Kittitas,2020,1,
WA,Kittitas,2022,1,
WA,Kittitas,2024,1,
WA,Klickitat,2020,1,
WA,Klickitat,2022,1,
WA,Klickitat,2024,1,
WA,Lewis,2020,1,
WA,Lewis,2022,1,
WA,Lewis,2024,1,
WA,Lincoln,2020,1,
WA,Lincoln,2022,1,
WA,Lincoln,2024,1,
WA,Mason,2020,1,
WA,Mason,2022,1,
WA,Mason,2024,1,
WA,Okanogan,2020,1,
WA,Okanogan,2022,1,
WA,Okanogan,2024,1,
WA,Pacific,2020,1,
WA,Pacific,2022,1,
WA,Pacific,2024,1,
WA,Pend Oreille,2020,1,
WA,Pend Oreille,2022,1,
WA,Pend Oreille,2024,1,
WA,Pierce,2020,1,
WA,Pierce,2022,1,
WA,Pierce,2024,1,
WA,San Juan,2020,1,
WA,San Juan,2022,1,
WA,San Juan,2024,1,
WA,Skagit,2020,1,
WA,Skagit,2022,1,
WA,Skagit,2024,1,
WA,Skamania,2020,1,
WA,Skamania,2022,1,
WA,Skamania,2024,1,
WA,Snohomish,2020,1,
WA,Snohomish,2022,1,
WA,Snohomish,2024,1,
WA,Spokane,2020,1,
WA,Spokane,2022,1,
WA,Spokane,2024,1,
WA,Stevens,2020,1,
WA,Stevens,2022,1,
WA,Stevens,2024,1,
WA,Thurston,2020,1,
WA,Thurston,2022,1,
WA,Thurston,2024,1,
WA,Wahkiakum,2020,1,
WA,Wahkiakum,2022,1,
WA,Wahkiakum,2024,1,
WA,Walla Walla,2020,1,
WA,Walla Walla,2022,1,
WA,Walla Walla,2024,1,
WA,Whatcom,2020,1,
WA,Whatcom,2022,1,
WA,Whatcom,2024,1,
WA,Whitman,2020,1,
WA,Whitman,2022,1,
WA,Whitman,2024,1,
WA,Yakima,2020,1,
WA,Yakima,2022,1,
WA,Yakima,2024,1,
